hpid,partof_id,partof_display,name,alias,phone,address,city,state,zip,prov_type_code,prov_type_display,prov_type_text
HPID010000,9990120000,Acme Insurance Co of Massachusetts,Acme of Massechusetts Preferred Provider Network,Acme MA PPO,6075555555,120 St James Ave,Boston,MA,2101,ppo,PPO,Preferred Provider Organization (PPO)
HPID020000,9990130000,Green Circle of Massachusetts,Green Circle of Massachusetts HMO,GC MA  HMO,6075555555,800 Washington St,Boston,MA,2101,hmo,HMO,Health Maintenance Organization (HMO)
HPID030000,9990140000,Persona of Massachusetts,Massachusetts Persona Preferred Provider Network,MA Persona PPO,6075555555,120 Royall St,Boston,MA,2101,ppo,PPO,Preferred Provider Organization (PPO)
HPID040000,9990150000,Acme Insurance Co of Connecticut,Acme of Connecticut Preferred Provider Network,Acme CT PPO,9595555555,690 Asylum Avenue,Hartford,CT,6101,ppo,PPO,Preferred Provider Organization (PPO)
HPID050000,9990160000,Green Circle of Connecticut,Green Circle of Connecticut HMO,GC CT HMO,9595555555,185 Asylum Street,Hartford,CT,6101,hmo,HMO,Health Maintenance Organization (HMO)
HPID060000,9990170000,Persona of Connecticut,Connecticut Persona Preferred Provider Network,CT Persona PPO,9595555555,27 Grove Street,Hartford,CT,6101,ppo,PPO,Preferred Provider Organization (PPO)
HPID070000,9990180000,Acme Insurance Co of Rhode Island,Acme of Rhode Island Preferred Provider Network,Acme RI PPO,4015555555,111 Westminster Street,Providence,RI,2901,ppo,PPO,Preferred Provider Organization (PPO)
HPID080000,9990190000,Green Circle of Rhode Island,Green Circle of Rhode Island HMO,GC RI HMO,4015555555,One Financial Plaza,Providence,RI,2901,hmo,HMO,Health Maintenance Organization (HMO)
HPID090000,9990200000,Persona of Rhode Island,Rhode Island Persona Preferred Provider Network,RI Persona PPO,4015555555,500 Exchange Street,Providence,RI,2901,ppo,PPO,Preferred Provider Organization (PPO)
HPID100000,9990140000,Persona of Massachusetts,State of Massachusetts Preferred Provider Network,MA GIC PPO,6075555555,120 Royall St,Boston,MA,2101,ppo,PPO,Preferred Provider Organization (PPO)
HPID110000,9990160000,Green Circle of Connecticut,State of Connecticut HMO,CT HMO,9595555555,185 Asylum Street,Hartford,CT,6101,hmo,HMO,Health Maintenance Organization (HMO)
HPID120000,9990180000,Acme Insurance Co of Rhode Island,State of Rhode Island Preferred Provider Network,RI PPO,4015555555,111 Westminster Street,Providence,RI,2901,ppo,PPO,Preferred Provider Organization (PPO)
HPID130000,9990170000,Persona of Connecticut,United Technologies Preferred Provider Network,UT PPO,9595555555,27 Grove Street,Hartford,CT,6101,ppo,PPO,Preferred Provider Organization (PPO)
